,drug,withdrawn_class,smiles
159,chembl3989403,1,Cc1cc(CC(=O)[O-])n(C)c1C(=O)c1ccc(Cl)cc1.O.O.[Na+]
160,chembl3989556,1,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC.Cl.O
161,chembl3989676,1,CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O.O
162,chembl3989803,1,Cc1c(N(C)CS(=O)(=O)[O-])c(=O)n(-c2ccccc2)n1C.O.[Na+]
163,chembl4297088,1,N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1.O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
164,clonazepam,0,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
165,vecuronium bromide,0,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CCCCC1.[Br-]
166,vecuronium bromide ,0,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CCCCC1.[Br-]
167,oseltamivir phosphate,0,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1.O=P(O)(O)O
168,iloperidone,0,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1
169,sulindac,0,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc([S+](C)[O-])cc1
170,tobramycin,0,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O
